Gene name,UCSC ID,G2 mRNA RPKM,M mRNA RPKM,G1 mRNA RPKM,G2 mRNA Read Count,M mRNA Read Count,G1 mRNA Read Count
KLHL15,uc004dba.3,6.2,7.1,13.5,251,482,707
STK38L,uc001rhr.2,12.3,15.5,29.4,397,796,1176
PLDN,uc001zvq.2,27.6,24.1,45.6,293,418,633
RRAGB,uc004dup.2,10.8,11.8,22.3,274,479,710
SKIL,uc003fgu.2,18,18.1,34.1,845,1387,2020
SPSB1,uc010oae.1,19.5,19.2,36.2,353,584,845
ELOVL4,uc003pja.3,5.4,6.2,11.7,115,214,316
KLF16,uc002luc.2,21.8,12.3,23.1,339,334,496
RPS14,uc003lsj.2,1762.3,864.1,1627.3,2880,2672,3745
PPP4R1L,uc002xyy.1,8.1,6.8,12.7,221,314,454
RGS3,uc004bhq.2,30.1,24,45.1,2360,3200,4694
TRAF4,uc002hcs.2,61.3,43.9,82.5,1676,2147,3075
ZNF654,uc003dqv.2,5.5,5.4,10.1,214,353,503
ZNF549,uc002qpa.1,3.9,2,3.8,160,141,203
ZNF574,uc002osm.3,15.5,11.6,21.7,892,1148,1692
PDP1,uc011lgn.1,47.6,28.8,53.9,1891,1897,2779
ZNF613,uc002pxz.1,4,3.6,6.7,163,243,352
USP38,uc003ijb.2,15,16.3,30.5,1060,1919,2761
SGMS2,uc003hyl.3,12.3,16.5,30.8,305,674,967
C9orf25,uc003zuj.2,21.6,15.7,29.3,227,294,415
NOV,uc003yoq.2,21.5,18.2,34,518,700,1043
TUBA4A,uc002vkt.1,19.1,23.1,43.1,361,759,1086
BCORL1,uc004evb.1,3.7,2.4,4.4,425,455,660
TIGD7,uc002cus.2,14.6,12.1,22.6,541,749,1072
ZKSCAN2,uc002dod.3,2.9,2.4,4.5,188,258,376
LIMS1,uc002teg.2,20.9,17.3,32.2,363,502,757
KIF9,uc003cqx.2,2.5,2.7,5,131,234,343
KLHL21,uc001aoa.2,40,25.5,47.4,1500,1664,2448
FSCN1,uc003sou.2,102.5,64.9,120.4,1776,1983,2879
CDCP1,uc003com.2,5.7,4,7.4,314,370,534
BCLAF1,uc003qgx.1,20.1,19.8,36.7,810,1352,1983
C16orf91,uc010uvd.1,27,24.9,46.1,609,979,1407
SERPINB7,uc002ljl.2,7.3,8,14.7,181,334,481
ZNF672,uc001iex.2,19.1,10.1,18.8,549,513,729
C15orf39,uc002azq.3,14.5,9.6,17.7,977,1125,1611
SLC9A1,uc001bnm.2,11.2,9,16.6,588,814,1175
RBM24,uc003nbz.3,6.9,6.4,11.8,104,162,235
ITPKC,uc002oot.2,16,10.8,20,705,815,1184
XIAP,uc004etx.2,5.8,3.7,6.9,180,192,278
VMP1,uc002ixu.3,133.3,149.2,274.1,3658,6890,9576
SLC17A5,uc003phn.3,7,6.4,11.7,238,348,502
TICAM1,uc002mbi.2,14.9,9.6,17.6,680,771,1086
MAST4,uc003jut.1,7.1,3.9,7.1,1165,1048,1517
NLK,uc010crj.2,14.9,14.4,26.3,516,837,1199
ZNF229,uc002oze.1,4.7,4.5,8.2,258,410,588
ZNF622,uc003jfq.2,70.2,77.6,142.1,2052,3926,5567
DIEXF,uc001hhr.1,26.4,27.3,50,1299,2335,3275
ZNF354B,uc003mjl.2,6.9,4.3,7.9,277,281,402
GATAD1,uc003ulx.1,36.9,22.3,40.8,655,639,939
SCO2,uc003blz.3,17,16.4,30.1,289,479,683
FEM1B,uc002arg.2,22.9,25.7,46.8,968,1763,2543
COMMD5,uc003zem.2,25.9,22.8,41.6,290,449,635
ZNF436,uc001bgt.2,9.3,6.5,11.9,294,336,480
YRDC,uc001cca.1,86.2,92,167.7,1457,2746,3889
ASPHD1,uc002dut.2,34.3,20.8,38,843,887,1274
SLC25A32,uc003yll.2,32.5,42.5,77.5,670,1473,2093
FKBP11,uc001rsp.2,37.9,35.4,64.2,494,742,1095
IFFO2,uc001bbd.2,8.8,8.6,15.6,293,480,689
ADAMTS16,uc003jdl.2,4.5,2.5,4.6,355,341,489
SFXN3,uc001ksp.2,30.8,19.2,34.7,653,668,967
LYSMD3,uc003kjr.2,23.5,29.3,53.1,486,992,1392
SDC4,uc002xnu.2,183.8,181.3,328.4,2308,3829,5455
PDP2,uc002eqk.1,15.6,13.1,23.7,544,764,1083
MCEE,uc002shs.2,8.7,9,16.1,101,169,240
PNKD,uc002vhn.2,6.8,3.8,6.8,163,159,224
DAPK3,uc002lzc.1,81.5,76.5,137.6,2353,3837,5370
RGL1,uc001gqm.2,4.1,3.2,5.7,227,286,398
CHKA,uc001onj.2,19.8,26.7,47.9,606,1351,1887
ATF5,uc010enq.1,32,26.5,47.4,577,805,1143
GPRIN1,uc003meo.1,8.5,8.2,14.7,554,927,1290
TPRA1,uc003ejn.2,51,47.5,85,1210,1954,2727
SHB,uc004aax.2,34.3,28.9,51.7,1133,1603,2269
RNASEL,uc001gpj.1,2.8,2.5,4.5,139,202,291
RIT1,uc001fmh.1,20.2,21.5,38.4,284,515,706
EPC1,uc001iwg.1,10.5,9.5,16.9,601,886,1227
FGF2,uc003iev.1,64.1,47.5,84.7,1156,1482,2084
FHOD1,uc002esl.2,35.1,36.9,65.8,2726,4733,6654
TAGLN,uc001pqm.2,33.1,68.7,122.4,434,1458,2059
TBX2,uc010wox.1,4.4,2.7,4.9,190,220,302
LIG4,uc001vqo.2,7.5,8.5,15.1,465,888,1197
SMEK1,uc001xzm.2,30.1,36.7,65.1,1673,3369,4632
KCTD7,uc003tve.2,19,7.3,13,351,234,322
KCTD5,uc002crd.2,55.7,50,88.7,733,1136,1589
SQSTM1,uc003mkw.3,1214.7,813.8,1444.4,34625,38807,54702
EMP1,uc001rbr.2,85.7,75.6,134.2,869,1283,1771
NIP7,uc002exa.2,71.6,79.4,140.9,712,1345,1896
CHST7,uc004dgt.2,13.6,8.7,15.4,433,460,645
TNFAIP1,uc002hay.2,47.6,28.8,50.9,956,1013,1375
ZNF394,uc003uqs.2,15.3,12.2,21.6,551,752,1042
MED26,uc002nen.1,8.8,6.8,12,346,446,621
PDLIM4,uc003kwn.2,92.6,80,141.3,1944,2855,4002
TCEB3,uc001bho.2,36.4,41.6,73.3,1879,3671,5069
CCNL1,uc003fbf.2,75,62.8,110.7,2653,3686,5032
HMGA2,uc001ssx.2,255.6,172.9,304.5,1701,1987,2739
CMBL,uc003jes.2,16.1,12.3,21.6,265,329,452
ATP1B1,uc001gfr.1,49.3,48.3,84.9,887,1443,2017
ARID5A,uc002swe.2,7.6,6.1,10.7,292,405,551
ADM,uc001mil.1,101.5,43.1,75.6,1205,860,1183
CD82,uc001myc.2,34.5,17.2,30.2,623,466,690
UBTD1,uc001knv.1,56.7,57,99.9,832,1410,1930
SRP19,uc011cvv.1,3.6,3.1,5.5,108,161,221
THOC6,uc002ctb.2,55.4,49,85.7,1209,1865,2508
ZNFX1,uc002xui.2,24.8,21.4,37.5,3155,4535,6266
TTLL11,uc011lyl.1,2.4,2.3,4,124,204,276
KLHL11,uc002hyf.1,4.3,4.1,7.2,208,326,443
ZNF561,uc002mlu.2,5.9,3.7,6.5,166,184,249
PNP,uc001vxo.3,138.1,189.6,330.7,2484,5947,7934
EAF1,uc003bzu.2,10.7,7.6,13.2,184,213,303
THAP1,uc003xpk.2,10.8,17.2,30.1,152,403,544
ZSWIM6,uc003jsr.2,22.1,21.7,37.9,1774,2976,4000
LRFN4,uc001ojr.2,64.9,38.7,67.4,2588,2676,3704
RSL1D1,uc002dbp.1,209.5,198.7,345.7,5773,8947,12490
PPM1D,uc002iyt.1,11,10.4,18,450,698,943
MED6,uc001xmf.2,27.1,30.4,52.8,440,807,1106
TGFBR2,uc003cen.2,39.5,31.9,55.3,1554,2079,2833
PMM2,uc002czf.3,45.8,60.9,105.7,672,1533,2066
PNN,uc001wuw.3,176.8,110.5,191.6,8467,8821,11898
CTTNBP2NL,uc001ebx.2,24.2,20.4,35.4,1021,1457,1962
APOL2,uc003apa.2,17.9,13.1,22.7,393,470,650
ZYX,uc003wcx.2,267.2,238,411.5,9768,15202,20359
ZNF614,uc002pyj.2,3.2,2.9,5.1,118,187,249
UTP23,uc003yoc.2,20.5,21.3,36.7,326,573,779
ZNF365,uc001jmc.2,3.1,5.1,8.8,96,260,349
FAM200A,uc003ura.2,10.6,9.2,15.8,399,573,774
VPS18,uc001zne.2,25.2,19.3,33.3,1590,2097,2814
RDH10,uc003xzi.2,8.8,8.6,14.8,197,317,434
ZFYVE27,uc001koo.2,78.2,75.4,129.9,2068,3450,4596
RNF25,uc002vit.2,40.1,41,70.7,1186,2105,2800
HES4,uc001aci.2,45.8,28.3,48.7,613,686,912
JRKL,uc001pfy.2,27.5,18.7,32.1,959,1099,1452
CASP3,uc003iwi.2,35,49.1,84.4,580,1395,1791
MAFG,uc002kcm.2,38.1,24.3,41.8,355,407,540
MICAL2,uc001mjz.2,77.3,58.3,100.1,5690,7197,9771
IL7R,uc003jjs.2,15.1,14.5,25,445,766,988
SYNJ1,uc002yqh.2,2.1,2.1,3.5,231,358,495
CNNM2,uc001kwm.2,5.5,3.4,5.9,316,330,445
KLF3,uc003gth.3,9.7,6,10.3,210,219,298
ZNF23,uc002faf.2,12.3,14.2,24.3,517,993,1331
SWAP70,uc001mhw.2,39.2,35.4,60.5,1522,2248,3061
FBLIM1,uc001axe.1,47.2,27.9,47.7,989,1024,1365
FOXN2,uc002rwh.1,6.5,7,12,191,345,446
RCOR3,uc010psw.1,16.5,16.5,28.1,614,991,1341
ZNF17,uc002qoo.1,3.9,3.9,6.6,166,282,371
SEC14L2,uc003ahr.2,21.7,16.4,28,586,724,972
DPM3,uc001fhm.2,48.7,34,57.8,359,453,581
RRS1,uc003xwa.2,55.5,48.8,83,1265,1910,2602
C7orf11,uc003thl.3,83.5,87.7,149.1,949,1751,2255
RAB9A,uc004cvm.2,51.6,54.5,92.6,591,1051,1387
PISD,uc003alk.2,28.3,27.1,46,670,1140,1484
ATAD2B,uc002rek.3,2.1,2.1,3.5,206,341,445
NRF1,uc003voz.2,32.6,42.4,71.9,1070,2326,3123
ZBTB6,uc004bnh.2,9.9,9.2,15.5,287,430,568
RAPH1,uc002vad.2,12.5,11.4,19.4,1023,1627,2107
UGDH,uc003guk.1,43.1,47.9,81.2,1428,2614,3465
C2orf49,uc002tcs.1,20.4,25.8,43.7,312,652,863
CCNYL1,uc002vci.2,7.2,5.4,9.2,127,168,227
ZEB1,uc001ivs.3,11,8.6,14.5,815,1033,1415
MAPK6,uc002abp.2,5.3,4.6,7.8,155,243,317
ISG15,uc001acj.3,40.1,31.7,53.6,411,556,745
DKK1,uc001jjr.2,180.5,190.1,321.7,3028,5658,7309
ZNF267,uc002ecs.3,7.9,9.6,16.2,384,796,1010
S100A3,uc001fca.1,14.8,16.4,27.7,92,179,230
EIF4H,uc003uad.1,56.2,48.6,82.1,317,461,636
OXTR,uc003brc.2,62.2,40.7,68.7,1516,1672,2298
CLCF1,uc001okq.2,32.2,35.1,59.2,466,865,1134
LIN7C,uc001mrl.2,34.8,45.2,76.2,447,980,1273
TRIML2,uc003izl.2,18.6,11.1,18.7,472,475,623
ZNF628,uc002qld.2,4.2,2.3,3.8,285,258,347
DPH3,uc003cau.2,17.7,23.2,39.1,83,185,246
ZSCAN12,uc011dlh.1,4.3,3.1,5.3,177,210,277
PDLIM5,uc003hti.2,35.5,28.4,47.8,1394,1909,2464
GLIPR1,uc001sxs.2,125.1,230,387.1,2185,6876,8788
GDF6,uc003yhp.2,8.6,7.4,12.5,259,375,490
FBXO33,uc001wvk.2,17.1,18.9,31.8,625,1204,1527
BCOR,uc004den.3,16.8,16.1,27.1,1965,3178,4137
RPS2,uc002cno.2,49.6,24.8,41.7,244,214,282
SLC25A22,uc001lri.2,46.1,41.2,69.2,932,1422,1915
VEGFC,uc003ius.1,42.9,33.2,55.6,1184,1522,2010
SESN2,uc001bps.2,50.5,35.1,58.7,1490,1877,2429
RBM3,uc004dkf.1,475.3,476.8,797.7,4010,6768,9018
INTS6,uc001vfk.2,7.2,9,15.1,365,771,1017
GBP3,uc001dmt.2,15.5,14,23.4,510,780,1012
ORAI2,uc003uzj.2,45,29.4,49,719,782,1056
PEG10,uc003uno.2,10.5,13.4,22.4,496,1038,1372
DSE,uc003pws.2,13.8,12.7,21.2,803,1252,1624
C3orf78,uc003dep.2,36.4,46.3,77.2,157,333,432
IRF2BP2,uc001hwf.2,64.8,32.8,54.6,2369,1989,2681
IRS2,uc001vqv.2,7.6,3.5,5.8,650,521,679
GLTP,uc001tpm.2,33.4,19.6,32.7,352,361,477
BCL10,uc001dkz.2,27.7,23.7,39.5,433,614,784
KAT2B,uc003cbq.2,5.6,4.2,7,318,384,502
DDA1,uc002nge.2,37.9,30.7,51.1,198,283,365
ZMIZ1,uc001kaf.2,29.7,22.6,37.7,2141,2641,3466
SAMD4A,uc001xbb.2,11,9.6,16,509,773,995
FSD1L,uc004bcq.2,4.8,3.7,6.2,158,206,265
TM4SF1,uc003exb.1,308,325.2,541.4,4110,7149,9280
RAP2B,uc003ezr.2,101,59.4,98.9,963,997,1300
TRMT6,uc002wmh.1,33.6,44.3,73.7,1099,2464,3161
SERPINB8,uc002lju.2,42.9,50.9,84.6,1035,2130,2700
ARMCX1,uc004ehv.2,41,33.7,55.9,1228,1679,2184
FAM102A,uc004bsx.1,17.8,13.9,23,443,580,761
BHLHE41,uc001rhb.2,32,15,25,1010,781,1038
EP300,uc003azl.3,10.7,8.9,14.8,1740,2357,3117
C17orf63,uc010way.1,4.4,2.8,4.7,164,179,227
PLEKHO2,uc002anv.2,19.1,14.4,23.8,597,763,1009
TUBB3,uc002fph.1,318.2,291.1,482.2,4280,6582,8753
SERTAD3,uc002onv.3,20.7,12.6,20.9,260,277,347
SECISBP2,uc004aqj.1,16,14.2,23.5,906,1379,1741
TUBB2A,uc003mvc.2,16,13.5,22.4,172,256,333
YIPF5,uc003lnl.3,82.2,90,148.8,1406,2507,3265
USP36,uc002jvz.1,26.2,20.1,33.2,1889,2478,3240
OTUD3,uc001bcs.3,3.8,3.8,6.2,102,162,213
GLCCI1,uc003srk.2,2.9,2.8,4.7,101,163,221
FAM46A,uc003pjg.2,14.5,10,16.5,427,489,627
DUSP23,uc001ftz.1,39.1,31.9,52.6,362,517,662
BATF3,uc001hjl.1,10.2,15.8,26,80,213,275
C9orf64,uc004anb.2,7.2,5.2,8.5,164,189,249
IFIT3,uc001kgg.2,19.2,13.4,22.1,649,703,935
FRMD8,uc001odu.3,8.8,5.7,9.5,245,278,361
NFIL3,uc004arh.2,15.1,14.8,24.4,463,796,974
C16orf72,uc002czm.2,60.2,56.3,92.6,1076,1681,2163
MEF2D,uc001fpc.2,30.9,23.2,38.2,1027,1374,1714
EIF3IP1,uc003vfp.1,73.5,67.5,111,589,890,1171
DRAM1,uc001tix.2,19.4,17.1,28.1,300,452,570
ELMO3,uc002esa.2,6.7,5.8,9.4,330,505,633
GCC1,uc003vma.2,30.3,23.5,38.5,1518,2027,2589
TMEM64,uc003yen.2,8.3,6.9,11.3,202,291,369
ZNF193,uc003nkr.1,17.5,9.5,15.6,445,413,527
C12orf73,uc009zuj.2,32.6,37,60.6,140,274,344
GFPT1,uc002sfh.2,47.3,49.4,80.8,2132,3804,4768
WDR20,uc001yld.2,18.7,19.8,32.4,718,1267,1624
RFXAP,uc001uvu.1,10.9,5.3,8.6,191,160,200
RBM15,uc001dzl.1,8.7,7.4,12.1,557,801,1014
DUSP4,uc003xhm.2,26.1,18.2,29.7,657,789,986
MAGED1,uc004dpn.2,116.9,102.9,167.6,6386,9257,11855
SOCS4,uc001xbp.2,17,17.2,27.9,499,835,1060
HIST1H1E,uc003ngq.2,155.1,43.8,71.4,2046,1098,1279
C9orf78,uc004byp.2,58.7,51.8,84.3,1011,1489,1955
MGAT1,uc003mmg.3,136.9,105.2,171,3871,5235,6563
SYNPO,uc003lsp.2,8.5,6,9.8,514,597,769
DHRS11,uc002hnd.2,12.5,8.2,13.3,204,234,296
FIZ1,uc002qli.3,13,7.2,11.6,401,391,498
SPATA5L1,uc001zve.2,29.9,23.4,38.1,1452,1903,2484
FOXO1,uc001uxl.3,3.6,2.3,3.7,155,165,209
RNF7,uc003eud.2,66.8,56.1,91,348,510,647
ACBD3,uc001hpy.2,33.7,33.2,53.9,1177,1936,2458
LRRFIP1,uc002vxe.2,31.4,19.5,31.7,1288,1361,1783
PTP4A2,uc001bty.1,60.8,22.2,36,302,209,258
EPM2AIP1,uc003cgk.2,20.5,13.7,22.1,824,939,1161
ZFP36L2,uc002rsv.3,21.2,11.2,18.2,678,595,777
none,uc010wdp.1,43.2,23.3,37.6,3584,3373,4326
CHSY1,uc002bwt.1,22.6,19.3,31.2,1181,1698,2165
MAML1,uc003mkm.2,21.2,16.4,26.5,1412,1857,2342
GPRC5A,uc001rba.2,26.8,20.9,33.8,638,874,1037
SLC35D1,uc001ddk.2,8.1,8.9,14.4,191,340,439
C14orf43,uc001xou.2,12.2,9.1,14.7,835,1054,1331
HEXIM1,uc002iig.2,53.8,50,80.5,1264,1976,2486
SDHAF1,uc002ocp.2,22.8,15.7,25.3,159,194,241
BAIAP2,uc002jzg.2,28.4,24.3,39.1,1018,1457,1866
DNTTIP2,uc001dqf.2,54.9,82.3,132.5,2777,6838,8647
NRG2,uc003lev.1,8.9,6.8,10.9,493,646,810
RRAGC,uc001ccq.2,31,22.3,35.9,819,1010,1234
ELL,uc002njh.2,19,15.9,25.6,749,1114,1375
MAPRE2,uc010xcc.1,11.9,11.6,18.7,258,403,504
DYNLT1,uc003qrn.1,84.1,78.3,125.7,454,741,908
CAB39,uc002vqx.2,64.9,86.5,138.8,1473,3231,4023
TSKU,uc001oxt.2,29.2,20.8,33.3,663,802,1010
SELS,uc010use.1,93.7,95.6,153.2,1105,1997,2438
CAMKK1,uc002fwt.2,4.3,3.7,6,137,205,262
TRAPPC6B,uc001wut.1,28.5,35.8,57.4,294,606,762
PTP4A1,uc003pel.2,64.3,52,83.4,478,710,857
PJA1,uc004dxh.2,24.7,20.2,32.4,1040,1447,1801
TERT,uc003jcb.1,20.5,14.2,22.7,1510,1769,2231
UBTD2,uc003mbp.1,25.5,23,36.8,385,594,727
ZNF263,uc002cuq.2,44.5,39.6,63.4,1932,2991,3731
REST,uc003hch.2,11.2,11.4,18.3,799,1368,1710
NT5DC3,uc010swe.1,5.9,5.2,8.4,220,329,398
ZNF498,uc003url.1,16.4,12.5,20,579,757,936
ASB1,uc002vyg.2,70.5,45.3,72.5,1452,1675,2082
BET1L,uc001loe.2,64.1,47,75.1,442,541,689
BMPR2,uc002uzf.3,17.4,16.1,25.7,1228,1855,2319
PNO1,uc002seh.2,56.7,71.4,114.1,854,1832,2318
FAM177A1,uc001wsq.2,37.3,30.1,48,517,729,884
ARMC9,uc002vrq.3,23.2,21.8,34.8,1026,1636,2005
BIN3,uc003xcl.2,40.7,35.2,56.2,653,971,1213
PTRF,uc002hzo.2,307.2,225.2,358.7,7549,9446,12021
ZNF192,uc003nkn.1,14.9,8.1,12.9,561,516,639
OAF,uc001pxb.2,66,56.2,89.5,1120,1682,2088
SLAMF7,uc001fwq.2,23.4,14.6,23.2,499,555,668
ZBTB7A,uc002lzi.2,32.4,20.9,33.2,1196,1332,1678
SOCS6,uc002lkr.1,21.4,20.1,31.9,679,1082,1349
HMGCS1,uc003jnq.3,20.9,22.2,35.2,702,1280,1551
RP2,uc004dgw.3,35.2,31.6,50.1,810,1233,1508
EPHA2,uc001aya.1,208.4,137.8,218.6,12669,14694,18181
NAT14,uc002qle.1,51.4,25.3,40.1,669,553,700
FLNC,uc003vnz.3,361.1,277.1,439.3,57173,76310,96027
PXDC1,uc003mvt.2,81.5,62.8,99.4,1201,1543,1954
TMEM2,uc011lsa.1,7,7.4,11.7,641,1147,1403
MTMR9,uc003wtm.2,8,6.4,10.2,283,393,480
BCL9L,uc001pug.2,68.3,38.6,61.1,6596,6350,7968
CSRNP2,uc001rxu.1,32.7,33.9,53.6,1146,2059,2519
SRSF3,uc003omj.2,305.6,308.8,488.4,961,1777,2135
RGS20,uc003xrp.2,6.8,7.9,12.5,175,334,416
ZNF274,uc002qrs.1,34.6,35.6,56.3,1201,2172,2609
ZNF484,uc004asu.1,3.4,3.5,5.5,197,335,405
NDEL1,uc002glj.2,38.3,40.1,63.3,838,1492,1824
SH2D5,uc009vpy.1,12.8,8.9,14,329,405,509
HIPK2,uc003vvf.3,13.6,13.8,21.7,1080,1829,2262
APC,uc003kpy.3,6.1,6.2,9.7,1183,1966,2413
RASSF8,uc001rgz.2,40.1,34.3,54.1,1027,1465,1824
DUSP16,uc001rao.1,9.8,8.2,12.9,439,607,744
DDA1,uc002ngd.2,29.1,26.4,41.6,142,227,274
EHD4,uc001zot.2,60.7,43.1,67.8,2023,2498,3104
MIER2,uc002lok.1,17.9,15,23.6,624,898,1112
RELT,uc001otv.2,25.8,25.9,40.6,693,1249,1506
SRF,uc003oui.2,53.4,41.6,65.2,1730,2306,2860
AHCYL2,uc011kov.1,7.8,6.7,10.5,319,454,553
DEGS1,uc001hoj.2,87.6,98.6,154.3,1860,3477,4223
SH3BP5,uc003bzp.1,31.4,24.2,37.9,928,1190,1486
PANK2,uc002wkc.2,25.3,21.5,33.6,941,1344,1654
PIGY,uc003hru.1,129.9,124.7,195,629,1079,1301
ARCN1,uc001ptq.2,143.7,149.7,234.1,4902,8320,10335
PRRC1,uc003kuk.2,35.2,35.6,55.7,1044,1756,2139
PALM2-AKAP2,uc004bej.3,87.5,72.6,113.6,6260,8667,10888
C1orf55,uc001hpu.3,18.4,17.6,27.5,549,875,1070
ATXN1L,uc002fbd.2,13.4,9.9,15.4,598,733,909
C10orf58,uc001kcc.3,66.2,40.3,62.9,829,866,1062
OBFC2B,uc001ski.2,92.1,83.7,130.6,1210,1820,2295
CBX8,uc002jxd.1,13,11.4,17.8,326,487,597
IRS1,uc002voh.3,22,15.8,24.7,1793,2134,2669
ZNF432,uc002pyk.2,4,4.9,7.6,175,354,427
MOCS3,uc002xvy.1,14.6,8.8,13.7,415,432,533
TMEM39A,uc003eck.1,28.1,40.9,63.8,922,2261,2688
none,uc002epu.2,42.1,29.9,46.6,493,578,717
ANKH,uc003jfm.3,6.9,5.7,8.8,220,315,374
ATXN7L3,uc002ifz.2,36.7,28.8,44.9,782,1065,1296
SLC30A7,uc001dto.2,11.2,12.3,19.1,286,517,619
SPRED1,uc001zka.3,36.2,36.1,56.2,1075,1753,2151
EIF3I,uc009vuc.2,362.4,309.9,481.8,6164,9015,11105
TOR1AIP1,uc001gnq.2,29.4,31.4,48.7,1148,2015,2458
TNFRSF12A,uc002csv.3,1433.9,1034.3,1607.2,11154,14159,17273
FICD,uc001tmx.1,7.7,6.7,10.4,228,346,410
RPP38,uc001inx.3,12.2,16.5,25.6,230,508,620
CRK,uc002fsl.2,53.8,47.3,73.5,1055,1532,1905
BCL9,uc001epq.2,2.8,2.2,3.4,274,342,422
RPL10A,uc003okp.1,127.9,50.9,79,261,193,230
BEX1,uc004ejt.1,145.9,129,200,635,925,1153
ZNF629,uc002dzs.1,15.1,9.6,14.9,848,898,1114
SPEN,uc001axk.1,11.6,9.8,15.1,2848,3937,4828
RAB7A,uc003eks.1,184.1,193.3,299.2,2430,4273,5241
RRM2B,uc003ykn.2,29.3,35.4,54.8,704,1395,1653
CHD7,uc003xue.2,2.3,2,3.1,477,651,809
DCUN1D2,uc001vtr.1,14.2,14.4,22.2,244,410,491
ARL16,uc002kbf.2,41.8,23.2,35.8,458,444,542
ZSWIM4,uc002mxh.1,9.8,4.7,7.3,632,511,623
YPEL5,uc002rmz.3,70.8,54.3,83.8,455,613,713
STEAP1,uc003ujx.2,7.3,11.1,17.1,133,342,398
TTC14,uc003fkk.2,33.2,27.4,42.3,1748,2374,2810
HNRNPC,uc001waa.2,119.3,104.7,161.6,430,696,824
DUSP3,uc002ied.3,65.3,58.4,90.1,770,1181,1402
EVC,uc003gil.1,22.3,13.2,20.4,1440,1421,1756
TMEFF1,uc004baz.1,9.6,12.4,19.1,245,509,625
MSX1,uc003gif.2,14.9,11.3,17.5,279,381,453
LRRC58,uc003edr.2,14.3,10.5,16.1,347,411,515
MOK,uc001ylm.2,24.8,19.1,29.4,684,847,1060
THSD1,uc001vgo.2,5.3,4.3,6.6,296,417,482
DNAJC17,uc001zms.1,15.4,12.4,19,291,402,484
NEU3,uc001ovw.2,12.1,9.2,14.1,357,469,562
C17orf48,uc002gmt.2,13.7,14.8,22.8,318,565,668
KIF3B,uc002wxq.2,37.5,26.8,41.2,1852,2125,2663
BCAR1,uc002fdv.2,111.9,94.5,145.1,5673,8280,10029
PIM2,uc004dls.2,25.8,20.7,31.7,513,706,845
UHRF1BP1L,uc001tgq.2,12.1,16.5,25.3,1204,2728,3224
EIF1AD,uc001ogm.1,43.2,35,53.7,446,614,746
PFKFB3,uc001ije.2,17.2,12.2,18.7,581,700,838
PPAPDC2,uc003zin.2,16.8,11.7,17.9,313,392,453
MAFK,uc003skr.2,150.7,90.7,138.8,1316,1446,1714
SPTSSA,uc001wsc.2,55.1,63.5,97.2,222,439,518
SBDS,uc003tvm.1,99.2,111.9,171.1,499,987,1176
SMNDC1,uc001kzc.3,45.9,57.8,88.3,707,1454,1763
SMG8,uc002ixi.2,17.2,19,29,1136,2115,2499
SMAP2,uc001cfj.2,8.5,8.1,12.4,243,384,458
ZNF782,uc004awp.1,4.1,3,4.7,188,242,279
MLL5,uc010ljc.2,16.2,13.8,21.1,2062,2876,3422
DIAPH1,uc003llb.3,53.2,49.5,75.5,4473,6866,8352
METRNL,uc002kgh.2,101.3,66.6,101.6,1949,2236,2705
CXXC5,uc010jfg.1,116.6,97.3,148.3,2459,3403,4094
ZNF787,uc010eth.1,81.2,64,97.6,1899,2564,3135
CERK,uc003bia.2,31.5,31.2,47.5,1102,1839,2207
PRDM8,uc003hmc.3,53.9,29,44.1,2379,2152,2631
SOX4,uc003ndi.2,17.3,9.2,14,534,465,568
SLC16A4,uc001dzo.1,7.4,3.3,5,249,181,209
ZBTB41,uc001gtx.1,3.6,4.1,6.2,222,422,493
FAM58A,uc011myr.1,14.2,11.1,16.9,146,220,248
C12orf45,uc001tlb.2,42.2,68.1,103.3,494,1349,1595
TRIM32,uc004bjw.2,31.3,22.7,34.4,1335,1646,1944
MESDC1,uc002bfz.2,37.8,22.4,34,860,868,1059
EIF4A1,uc002ghp.1,545.8,323.1,489.7,3085,3265,3965
NUDT19,uc010edf.2,10.5,8.4,12.8,252,337,408
SIX3,uc002run.1,56.1,30.3,45.9,1189,1108,1304
LOC649330,uc009vno.2,76.5,71.4,108.1,346,587,674
ZNF317,uc002mku.2,12.2,9.2,13.9,455,573,710
PAK2,uc003fwy.3,13,10.5,15.9,362,509,603
VPS36,uc001vgs.2,20.7,23.6,35.8,535,989,1188
FBXO27,uc002okh.2,12.4,8,12.1,228,240,293
C3orf58,uc003evo.2,7.1,6.4,9.7,199,303,358
SLC35C1,uc010rgm.1,36.8,30.4,46,823,1169,1388
ZNF295,uc002yzy.3,7.4,8.1,12.2,532,978,1131
CHAC1,uc001znh.2,49.5,24,36.2,796,721,817
METTL19,uc003glg.1,11.7,9.2,13.9,399,539,636
ARRDC3,uc003kjz.2,94.3,52.6,79.5,2686,2487,2834
MFHAS1,uc003wsj.1,6.4,4,6,429,455,547
CBX4,uc002jxe.2,33.4,22,33.2,1178,1416,1609
TPBG,uc010kbj.2,87.7,54.7,82.6,2357,2573,2986
ZKSCAN4,uc003nks.1,5.1,3.9,5.9,181,230,271
FEM1C,uc003krb.1,16.9,16.3,24.6,701,1123,1312
LPXN,uc001nmw.2,14.9,15.2,22.9,374,659,760
SATB2,uc002uuz.1,4.8,3.4,5.1,234,270,326
